id,nombre,descripcion,casa_productora,precio,existencia
72,Allopurinol,Other superficial bite of right ring finger,Bryant Ranch Prepack,$620.40,04
73,Dots Apple Cinnamon Anti-Bacterial Hand Sanitizer,Laceration of blood vessel of right index finger,ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,$94.27,04
74,OP Dark Tanning Gel 4,Fracture of lateral condyle of humerus,"Sun & Skin Care Research, LLC",$95.56,08
75,GAS AND COLIC KIDS RELIEF,"Strain of left quadriceps muscle, fascia and tendon, subs",HOMEOLAB USA INC,$839.23,04
76,FreshKote Lubricant Eye Drops,"Disp fx of l tibial spin, 7thM","FOCUS Laboratories, Inc.",$502.36,13
77,Cough and Cold,"Traum hemor cereb, w LOC >24 hr w/o ret consc w surv, subs","Selder, S.A. de C.V.",$763.08,03
78,Telmisartan,"Toxic effect of unsp gases, fumes and vapors, accidental","Glenmark Generics Inc., USA",$36.10,12
79,Fire Ant,Other urethral stricture,"Nelco Laboratories, Inc.",$103.25,02
80,Irbesartan,"Other physeal fracture of right calcaneus, init",American Health Packaging,$287.54,11
81,Hydromorphone HCl,"Other specified injuries of unspecified foot, subs encntr",Cantrell Drug Company,$958.41,03
82,Follistim AQ,"Other specified disorders of synovium and tendon, elbow",Organon USA Inc.,$244.36,05
83,Bumetanide,"Nondisp fx of lateral condyle of right femur, init",Baxter Healthcare Corporation,$988.88,13
84,Medi Stem Eye,"Lac w/o fb of r frnt wl of thorax w penet thor cavity, subs","AMI Cosmetic Co.,Ltd.",$618.38,02
85,Metoclopramide,Laceration w/o fb of l little finger w damage to nail,American Health Packaging,$584.50,05
86,OXYCODONE AND ACETAMINOPHEN,"Unsp fracture of right femur, subs for clos fx w malunion","Mallinckrodt, Inc.",$930.11,11
87,Carvedilol,Other specified disorders of breast,Mylan Institutional Inc.,$689.86,05
88,Meteoric Iron Prunus,Pilar and trichodermal cyst,Uriel Pharmacy Inc.,$261.04,15
89,healthy accents multi symptom cold,"Nondisp fx of ant wall of l acetab, subs for fx w routn heal",DZA Brands LLC,$914.94,13
90,Good Sense Childrens Pain and Fever,"Toxic effect of venom of black widow spider, self-harm, init",L. Perrigo Company,$758.38,06
91,DR.ISAO VITA WHITE SERUM,"Adverse effect of antineoplastic and immunosup drugs, subs",IASO Inc,$419.56,01
92,Sisal,Toxic effect of other specified inorganic substances,"Nelco Laboratories, Inc.",$584.33,15
93,Nabumetone,"Exposure to ignition of oth clothing and apparel, subs","Blenheim Pharmacal, Inc.",$744.68,01
94,Crest 3D White,Subluxation and dislocation of C1/C2 cervical vertebrae,The Procter & Gamble Manufacturing Company,$246.50,11
95,Equate Cool and Heat,"Unsp athscl nonaut bio bypass of the extremities, left leg",Wal-Mart Stores Inc,$147.48,06
96,donepezil hydrochloride,"Sltr-haris Type II physl fx upr end rad, unsp arm, 7thK",McKesson Packaging Services a business unit of McKesson Corporation,$76.99,09
97,Pravastatin Sodium,"Laceration of dorsal vein of right foot, initial encounter","MedVantx, Inc.",$659.40,15
98,Flurazepam,"Major depressive disorder, single episode","Golden State Medical Supply, Inc.",$484.67,15
99,Retisert,"Unsp inj msl/fasc/tnd post grp at thi lev, unsp thigh, sqla",Bausch & Lomb Incorporated,$947.48,03
100,Amlodipine besylate/atorvastatin calcium,Occup of 3-whl mv injured in clsn w statnry object nontraf,Mylan Pharmaceuticals Inc.,$755.96,07
101,Inflammation,"Person outsd 3-whl mv inj in nonclsn trnsp acc nontraf, subs",Apotheca Company,$961.00,06
102,Gelato APF,"Other contact with rat, sequela","Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc",$481.16,01
103,Desipramine Hydrochloride,"Unspecified superficial injury of right forearm, init encntr",KAISER FOUNDATION HOSPITALS,$488.41,04
104,Acyclovir,"Diab with prolif diabetic rtnop with trctn dtch macula, bi",Rebel Distributors Corp,$412.05,06
105,Correct and Perfect Spot Treatment,"Poisoning by chloramphenicol group, self-harm, sequela","Dr. Dennis Gross Skincare, LLC",$833.65,03
106,Methocarbamol,"Accidental malfunction of hunting rifle, subs encntr",Sandoz Inc,$807.15,06
107,Picato,Other disorders of the right eye following cataract surgery,LEO Pharma Inc.,$884.86,09
108,DEPRESSION COMPOSITION,Sucked into jet engine,"Synergy Formulas, Inc.",$241.03,05
109,SHISEIDO SHEER MATIFYING COMPACT (REFILL),"Toxic effect of carb monx from utility gas, assault, subs","SHISEIDO CO., LTD.",$362.36,06
110,Eve Lom Brilliant Cover Concealer Broad Spectrum SPF 15 Sunscreen,"Parasomnia, unspecified",Space Brands Limited,$906.08,01
111,Aspirin,"Mature T/NK-cell lymphomas, unsp, intrathoracic lymph nodes","Bedrock Brands, LLC (ST. JOSEPH)",$356.25,15
112,"Standardized Mite, Dermatophagoides pteronyssinus, Intradermal, 30 AU per mL","Displaced fracture of body of unspecified talus, sequela",Jubilant HollisterStier LLC,$926.87,13
113,Moxifloxacin,Disorders of acoustic nerve,Dr. Reddy's Laboratories Limited,$650.98,15
114,Vicodin,"Ped w convey injured in collision w pedl cyc nontraf, init",AbbVie Inc.,$925.01,10
115,GLUCOPHAGE,"Other secondary chronic gout, right shoulder, with tophus","PD-Rx Pharmaceuticals, Inc.",$605.13,09
116,Degree,"Pre-existing type 1 diabetes mellitus, in the puerperium",Conopco Inc. d/b/a Unilever,$335.98,06
117,Renes Carbo Special Order,"Leakage of coronary artery bypass graft, sequela",Uriel Pharmacy Inc.,$709.42,03
118,Amitriptyline Hydrochloride,"Unsp fx head of unsp femur, subs for clos fx w routn heal",Mylan Pharmaceuticals Inc.,$943.87,13
119,Metronidazole,Pressure ulcer of unspecified hip,BluePoint Laboratories,$992.67,04
120,Venlafaxine hydrochloride,"Oth traum nondisp spondylolysis of sixth cervcal vert, 7thK",Dr. Reddy's Laboratories Limited,$437.38,12
121,CVS COLD AND HOT MEDICATED XL,"Oth disp fx of upper end of unsp humerus, init for opn fx","CVS PHARMACY, INC.",$454.36,01
122,ROPINIROLE HYDROCHLORIDE,Traumatic rupture of unsp ulnocarpal (palmar) ligament,Major Pharmaceuticals,$303.71,07
123,Synthroid,Fracture of one rib,State of Florida DOH Central Pharmacy,$560.88,02
124,Zyprexa,"Corrosion of respiratory tract, part unsp, init encntr","Dispensing Solutions, Inc.",$598.30,15
125,"Terrasil Itch, Rash and Pain Relief","Wedge comprsn fx fifth lum vert, subs for fx w routn heal","Aidance Skincare & Topical Solutions, LLC",$313.80,01
126,Aplicare Povidone-iodine Scrub,Beta thalassemia,"Aplicare, Inc.",$165.07,05
127,Lovastatin,"Stress fracture, right finger(s)",Rebel Distributors Corp,$417.08,12
128,FungaZoil Advanced,"Dermatochalasis of unspecified eye, unspecified eyelid",Pedifix,$377.15,11
129,ropinirole hydrochloride,Encounter for exam and obs following alleged physical abuse,Cadila Healthcare Limited,$453.96,10
130,Gillette Mach 3 Invisible,Inadequate sleep hygiene,Procter & Gamble Manufacturing Company,$446.32,08
131,Felodipine,"Underdosing of unsp systemic anti-infect/parasit, sequela",REMEDYREPACK INC.,$132.04,02
132,Berry Scented Hand Sanitizer,"Strain of intrinsic msl/tnd at ank/ft level, left foot","Townley, Inc.",$556.89,05
133,Flu Relief Therapy,NIHSS score 4,Walgreens,$545.52,10
134,Ranitidine,Superficial frostbite of unspecified finger(s),Valu Merchandisers Company,$599.01,04
135,Love and Beauty Peach Mango Anti-Bacterial Hand Sanitizer,Dislocation of metatarsophalangeal joint of unsp toe(s),ALILY (ZHANGZHOU) BATH PRODUCTS LTD.,$303.49,13
136,BAROX,"Oth fracture of upper end of left ulna, init for clos fx",Dr.JangLab Inc.,$942.97,13
137,Next Choice,"Driver of bus injured in collision w unsp mv in traf, init","H.J. Harkins Company, Inc.",$319.78,08
138,Bupropion Hydrochloride,"Vertebral artery compression syndromes, site unspecified",REMEDYREPACK INC.,$183.33,01
139,Tormentilla Cochlearia Menstrual Support,"Sltr-haris Type II physl fx low end rad, r arm, 7thP",Uriel Pharmacy Inc,$208.52,02
140,Dial For Men Dandruff Control Hair and Body Wash,"Stable burst fracture of T5-T6 vertebra, sequela",The Dial Corporation,$563.10,03
141,Daytime,"Psychological abuse, suspected","Premier Value (Chain Drug Consortium, LLC)",$861.88,08
142,Good Neighbor Pharmacy,"Burns of oth parts of unsp eye and adnexa, init encntr",AMERISOURCEBERGEN DRUG CORPORATION,$531.93,10
143,Hydrocodone Bitartrate And Acetaminophen,Varicose veins of left lower extremity with ulcer of calf,REMEDYREPACK INC.,$349.47,13
144,Pleo San Pseu,"Exposure to bed fire due to unsp burning material, sequela",Sanum Kehlbeck GmbH & Co. KG,$229.52,02
145,Quackgrass Pollen,Secondary neuroendocrine tumors,"Allermed Laboratories, Inc.",$827.99,12
146,AZITHROMYCIN,Person outside car injured in nonclsn trnsp accident nontraf,WOCKHARDT USA LLC.,$90.13,09
147,Tobramycin,Secondary malignant neoplasm of unsp part of nervous system,Mylan Institutional LLC,$354.16,09
148,AMBIEN,Sepsis due to Enterococcus,STAT Rx USA LLC,$170.50,07
149,Hydrocodone Bitartrate And Acetaminophen,"Coma scale, best motor response, obeys commands, admit",REMEDYREPACK INC.,$934.71,08
150,Vagistat-3,"Burn of second degree of unspecified thigh, subs encntr","Novartis Consumer Health, Inc.",$473.92,11
151,Famotidine,"Hit by falling object due to accident to fishing boat, init",REMEDYREPACK INC.,$954.93,15
152,Standardized Redtop Grass,"Sltr-haris Type III physl fx upr end rad, r arm, 7thD","Allermed Laboratories, Inc.",$41.33,05
153,Darby,"Exposure to tanning bed, sequela",Darby Dental Supply Co Inc,$122.59,06
154,Compro,"Nondisp fx of trapezium, right wrist, subs for fx w nonunion","PD-Rx Pharmaceuticals, Inc.",$79.86,10
155,Clear Proof Acne System,"Angular blepharoconjunctivitis, right eye",Mary Kay Inc.,$717.84,05
156,Esterified Estrogens and Methyltestosterone,"Unsp superficial injuries of breast, unsp breast, subs",ANIP Acquisition Company,$884.47,03
157,Babyganics,Pedestrian on foot injured in collision w hv veh in traf,"Autumn Harp, Inc.",$947.28,02
158,ENALAPRIL MALEATE,Acquired absence of unspecified wrist,Unit Dose Services,$440.36,09
159,PCXX NEUTRAL GEL PINA COLADA,"Nondisp fx of lateral cuneiform of r ft, 7thP",Ross Healthcare Inc.,$451.42,01
160,LEADER Caldyphen,Di George's syndrome,Cardinal Health,$212.74,10
161,Terazosin Hydrochloride,"Recurrent dislocation, elbow",REMEDYREPACK INC.,$878.59,01
162,BARLEY MALT,"Corros 1st deg of unsp site unsp lower limb, ex ank/ft, sqla","Allergy Laboratories, Inc.",$739.91,14
163,Any Mi Natural Magic BB No.5,Disp fx (avulsion) of medial epicondyle of left humerus,"K.N.Life Co., Ltd.",$232.30,13
164,NAPROXEN,"Subluxation of unsp interphaln joint of unsp finger, init",REMEDYREPACK INC.,$359.66,02
165,Viscum Tiliae,"Sltr-haris Type IV physl fx upper end humer, unsp arm, init",Uriel Pharmacy Inc,$464.10,09
166,Extra Strength Non-Aspirin,"Nondisp fx of intermed cuneiform of l foot, init for opn fx","VALUE MERCHANDISERS COMPANY, INC.",$587.31,14
167,Levofloxacin,"Disp fx of distal pole of navicular bone of r wrist, sequela",Greenstone LLC,$998.88,06
168,Neomycin and Polymyxin B Sulfates and Bacitracin Zinc,"Ankylosing hyperostosis, occipito-atlanto-axial region","Physicians Total Care, Inc.",$792.99,11
169,rx act nasal,"Pnctr of abd wall w fb, r low q w/o penet perit cav, sqla",H E B,$20.04,10
170,Unscented SPF 17,"Other specified injuries of external genitals, sequela","CoValence, Inc.",$472.41,08
171,Nystatin,Subcutaneous panniculitis-like T-cell lymphoma,Rebel Distributors Corp,$284.97,09
172,DOCTORS CHOICE,"Infections of cervix in pregnancy, second trimester",Massco Dental A Division of Dunagin Pharmaceuticals,$517.73,05
173,FEXOFENADINE HYDROCHLORIDE,"Assault by oth gas, air or spring-operated gun, subs encntr",Sun Pharmaceutical Industries Limited,$477.95,11
174,Eucerin Redness Relief Daily Perfecting,Subluxation of unsp interphalangeal joint of r mid finger,Beiersdorf Inc,$589.12,09
175,VELCADE,"Nondisp oblique fx shaft of humerus, right arm, sequela","Millennium Pharmaceuticals, Inc.",$961.67,02
176,Curad Oral Saline Laxative,"Occupant (driver) of hv veh injured in unsp traf, init","Medline Industries, Inc.",$502.62,12
177,Caduet,"Car driver injured in collision w SUV nontraf, sequela",Pfizer Laboratories Div Pfizer Inc,$369.26,11
178,Zicam,"Puncture wound with foreign body, right lower leg, sequela","Matrixx Initiatives, Inc.",$529.68,14
179,Chlorpromazine Hydrochloride,"Unsp injury of blood vessel of other finger, init encntr","NCS HealthCare of KY, Inc dba Vangard Labs",$602.42,11
180,RITE AID RENEWAL,Postthrom syndrome w ulcer and inflam of unsp low extrm,RITE AID CORPORATION,$925.39,10
181,Earths Best Cold Relief Vapor,"Driver of pk-up/van inj in clsn w 2/3-whl mv nontraf, sqla","The Hain Celestial Group, Inc",$16.43,10
182,Terrasil IPL Relief,Unsp comp of fb acc left in body following remov cath/pack,"Aidance Skincare & Topical Solutions, LLC",$939.32,06
183,Antacid,"Puncture wound w foreign body of unsp part of head, init",Meijer Distribution Inc,$111.53,06
184,Lunesta,Other specified injuries of left thigh,Bryant Ranch Prepack,$880.37,03
185,Verapamil Hydrochloride,Trochanteric bursitis,"Aphena Pharma Solutions - Tennessee, LLC",$132.94,03
186,Naturasil,"Complete traumatic amp of unsp forearm, level unsp, subs","Nature's Innovation, Inc.",$674.61,03
187,MATTE MOISTURE TINT SUNSCREEN BROAD SPECTRUM SPF 15,"Fx unsp tarsal bone(s) of unsp foot, subs for fx w nonunion",Jouer Cosmetics LLC,$881.73,07
188,Levetiracetam,"Passenger of amblnc/fire eng injured nontraf, init","Breckenridge Pharmaceutical, Inc.",$261.23,13
189,Metoprolol Tartrate,"Pathological fracture in neoplastic disease, ankle and foot",West-ward Pharmaceutical Corp,$333.85,03
190,Diltiazem Hydrochloride,"Prsn brd/alit a 3-whl mv inj pick-up truck, pk-up/van, subs",Mylan Institutional Inc.,$685.30,10
191,Methscopolamine Bromide,"Dislocation of oth carpometacarpal joint of right hand, subs",E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,$14.77,14
192,Zanaflex,"Person outsd car inj in clsn w nonmtr vehicle in traf, init","Acorda Therapeutics, Inc.",$999.26,07
193,Paroxetine,Sprain of interphalangeal joint of left ring finger,Lake Erie Medical DBA Quality Care Products LLC,$344.17,05
194,Dry Idea,Complete traumatic MCP amputation of right ring finger,VVF Illinois Services,$478.07,10
195,Formaldehyde,"Pathological fracture, right foot, subs for fx w delay heal","Deseret Biologicals, Inc.",$860.65,09
196,Alprazolam,"Injury of conjunctiva and corneal abrasion w/o fb, left eye",Aidarex Pharmaceuticals LLC,$564.33,12
197,HYDRALIFE BB CREME Enhancing Moisturizer For Immediate Beauty SPF 30,"Sprain of interphalangeal joint of unsp finger, init encntr",Parfums Christian Dior,$492.48,10
198,Dextrose,Tuberculous peritonitis,Baxter Healthcare Corporation,$925.93,01
199,cephalexin,"Toxic effect of ingested mushrooms, accidental",Lake Erie Medical DBA Quality Care Products LLC,$979.77,15
200,Buspirone HCl,"Ankylosis, left ankle",Rebel Distributors Corp.,$442.80,05
201,Loratadine and Pseudoephedrine Sulfate,"Unsp mtrcy rider injured in clsn w hv veh nontraf, sequela",Chain Drug Marketing Association Inc.,$489.61,03
202,Loperamide Hydrochloride,"Corrosion of second degree of left axilla, subs encntr",Mylan Institutional Inc.,$295.98,06
203,SORGHUM HALEPENSE POLLEN,"Occup of pk-up/van inj in nonclsn trnsp acc in traf, sequela","ALK-Abello, Inc.",$326.43,08
204,Ailanthus,"Idiopathic chronic gout, left elbow, without tophus (tophi)","Nelco Laboratories, Inc.",$824.38,06
205,Enulose,"Inj flexor musc/fasc/tend unsp finger at forearm level, subs",Actavis Inc.,$326.17,14
206,Plan B One-Step,Mobile home as the place of occurrence of the external cause,"Teva Women's Health, Inc.",$120.50,12
207,Verapamil Hydrochloride,"Disp fx of unsp tibial tuberosity, 7thR","NCS HealthCare of KY, Inc dba Vangard Labs",$325.56,14
208,Prevacid SoluTab,Other specified hemorrhagic conditions,"Takeda Pharmaceuticals America, Inc.",$250.39,14
209,Dandruff,"Cannabis use, unspecified with anxiety disorder",Your Military,$65.09,14
210,RISPERIDONE,"Unsp inj extensor musc/fasc/tend r thm at wrs/hnd lv, subs",WOCKHARDT USA LLC,$77.42,15
211,ELOCTATE,"Disp fx of intermed cuneiform of unsp ft, 7thK",Biogen Idec Inc.,$638.02,05
212,Glipizide,Nondisplaced transverse fracture of right acetabulum,Apotex Corp.,$426.90,09
213,sunmark tension headache,"Unsp foreign body in esophagus causing oth injury, subs",McKesson,$247.30,07
214,Antipyrine and Benzocaine,"Displ avuls fx (chip fracture) of r talus, init for opn fx","County Line Pharmaceuticals, LLC",$130.70,02
215,Choice Personal Care Theraputic Blue Ice,"Nondisp fx of lunate, unsp wrist, init for clos fx",My Import Inc,$372.31,09
216,Zenchent,"Foreign body on external eye, part unspecified, right eye","Physicians Total Care, Inc.",$838.56,06
217,Tamsulosin hydrochloride,Unspecified fracture of lower end of right ulna,REMEDYREPACK INC.,$381.00,03
218,Diabetes,Struck by falling object on fishing boat,"Newton Laboratories, Inc.",$999.91,14
219,Anti-Bacterial Hand,"Oth extrartic fx low end l rad, init for opn fx type 3A/B/C","Bath & Body Works, Inc.",$679.02,03
220,good sense pain relief,"Fracture of base of skull, left side, sequela",L Perrigo Company,$139.94,04
221,Levothyroxine Sodium,Fistula of vagina to small intestine,REMEDYREPACK INC.,$352.23,09
222,DUAL ACTION CHERRY COUGH SUPPRESSANT ORAL ANESTHETIC,"Volume depletion, unspecified",Ricola Ag,$462.82,05
223,Bystolic,"Underdosing of unspecified narcotics, sequela","Physicians Total Care, Inc.",$798.92,03
224,Evamist,"Occupant (driver) of 3-whl mv injured in unsp traf, sequela","Physicians Total Care, Inc.",$351.20,10
225,Exuviance CoverBlend Skin Caring Foundation,"Age-rel osteopor w crnt path fx, unsp low leg, 7thP",NeoStrata Company Inc.,$282.88,02
226,Tranylcypromine Sulfate,Viral cardiomyopathy,"Par Pharmaceutical, Inc.",$803.93,03
227,Tramadol Hydrochloride,"Oth fx upper end of r radius, subs for clos fx w routn heal",Proficient Rx LP,$191.51,01
228,Adidas,Oth cond rel to interstit emphysema origin in perinat period,Coty US LLC,$380.14,12
229,Captopril,"Poisoning by macrolides, assault",Apotex Corp.,$187.57,06
230,Daytime,"Passenger on bus injured in clsn w ped/anml nontraf, init","Good Sense (Geiss, Destin & Dunn, Inc.)",$44.17,04
231,Olay Complete All Day,"Disp fx of posterior wall of right acetabulum, sequela",Procter & Gamble Manufacturing Company,$242.10,05
232,Live Better,Trichomonal prostatitis,The Great Atlantic & Pacific Tea Company,$46.14,06
233,Ceftriaxone Sodium,"Mech compl of ventricular intracranial shunt, subs",Sandoz Inc,$145.21,05
234,Hard Candy Correction Creme,"Unspecified disorder of synovium and tendon, left upper arm",Xtreme Color Inc.,$206.88,13
235,Escitalopram,"Severely displaced Zone I fracture of sacrum, init",Accord Healthcare Inc.,$564.34,04
236,Triple Antibiotic Plus Pain Relief,"Displ bicondylar fx unsp tibia, subs for clos fx w malunion","Kareway Product, Inc.",$32.73,01
237,Diazepam,"Nondisp pilon fx unsp tibia, init for opn fx type I/2",Cardinal Health,$620.20,02
238,Yeastaway,Contusion of front wall of thorax,Laboratoires Boiron,$939.11,13
